show_id,category,win,year
37,OUTSTANDING INDIVIDUAL ACHIEVEMENT IN MUSIC COMPOSITION for a series (dramatic underscore),False,1992
37,Outstanding Voice-Over Performance,True,1993
37,OUTSTANDING individual achievement in SOUND MIXING FOR A COMEDY SERIES OR A SPECIAL,False,1993
37,OUTSTANDING INDIVIDUAL ACHIEVEMENT IN MUSIC COMPOSITION for a series (dramatic underscore),False,1993
37,OUTSTANDING INDIVIDUAL ACHIEVEMENT IN MUSIC COMPOSITION for a series (dramatic underscore),False,1994
37,OUTSTANDING INDIVIDUAL ACHIEVEMENT IN MUSIC AND LYRICS,False,1994
37,OUTSTANDING ANIMATED PROGRAM (FOR PROGRAMMING ONE HOUR OR LESS),True,1995
37,OUTSTANDING INDIVIDUAL ACHIEVEMENT IN MUSIC AND LYRICS,False,1995
37,OUTSTANDING individual achievement in SOUND MIXING FOR A COMEDY SERIES OR A SPECIAL,False,1995
37,OUTSTANDING INDIVIDUAL ACHIEVEMENT IN MUSIC COMPOSITION for a series (dramatic underscore),False,1995
37,OUTSTANDING MUSIC AND LYRICS,False,1996
37,OUTSTANDING ANIMATED PROGRAM (FOR PROGRAMMING ONE HOUR OR LESS),False,1996
37,OUTSTANDING MUSIC AND LYRICS,True,1997
37,OUTSTANDING ANIMATED PROGRAM (FOR PROGRAMMING one hour or less.),True,1997
37,OUTSTANDING SOUND MIXING FOR A COMEDY SERIES OR A SPECIAL,False,1997
37,Outstanding Music Direction,False,1997
37,Outstanding Voice-Over Performance,True,1998
37,OUTSTANDING MUSIC AND LYRICS,True,1998
37,OUTSTANDING ANIMATED PROGRAM (FOR PROGRAMMING ONE HOUR OR LESS),True,1998
37,Outstanding Music Direction,False,1998
37,OUTSTANDING MUSIC COMPOSITION FOR A SERIES (DRAMATIC UNDERSCORE),False,1998
37,OUTSTANDING MUSIC COMPOSITION FOR A SERIES - DRAMATIC UNDERSCORE,False,1999
37,OUTSTANDING ANIMATED PROGRAM (FOR PROGRAMMING ONE HOUR OR LESS),False,1999
37,OUTSTANDING ANIMATED PROGRAM (FOR PROGRAMMING ONE HOUR OR LESS),True,2000
37,Outstanding Animated Program (for programming less than one hour),True,2001
37,Outstanding Voice-Over Performance,True,2001
37,OUTSTANDING MUSIC COMPOSITION FOR A SERIES (DRAMATIC UNDERSCORE),False,2001
37,OUTSTANDING MUSIC AND LYRICS,False,2002
37,Outstanding Animated Program (for programming less than one hour),False,2002
37,Outstanding Animated Program (for programming less than one hour),True,2003
37,Outstanding Voice-Over Performance,True,2003
37,OUTSTANDING MUSIC AND LYRICS,False,2003
37,Outstanding Voice-Over Performance,True,2004
37,Outstanding Animated Program (for programming less than one hour),False,2004
37,OUTSTANDING MUSIC COMPOSITION FOR A SERIES (DRAMATIC UNDERSCORE),False,2004
37,OUTSTANDING MUSIC AND LYRICS,False,2004
37,Outstanding Animated Program (for programming less than one hour),False,2005
37,OUTSTANDING MUSIC COMPOSITION FOR A SERIES (DRAMATIC UNDERSCORE),False,2005
37,OUTSTANDING MUSIC AND LYRICS,False,2005
37,Outstanding Animated Program (for programming less than one hour),True,2006
37,Outstanding Voice-Over Performance,True,2006
37,Outstanding Animated Program (for programming less than one hour),False,2007
37,Outstanding Animated Program (for programming less than one hour),True,2008
37,Outstanding Music Composition For A Series (Original Dramatic Score),False,2008
37,Outstanding Voice-Over Performance,True,2009
